SampleID,Timepoint,SampleDate,Treatment,Read,File name (mRNA),md5 (mRNA),BioSample Accession (mRNA),Raw reads (mRNA),Trimmed reads - fastp (mRNA),Hisat2 alignment (mRNA),Bowtie2 alignment (mRNA),File name (smRNA),md5 (smRNA),Raw reads (smRNA),Trimmed reads - flexbar (smRNA),BioSample Accession (smRNA),Notes
AST-1065,TP7,20210825,High,1,AST-1065_R1_001.fastq.gz,9a5f218756b1881a3c80998708404c00,SAMN47202949,42852873,28514704,47.17,37.53,AST-1065_R1_001.fastq.gz,ca424a9af55efc7315d96ed189280b70,18782226,17829111,SAMN47203241,
AST-1065,TP7,20210825,High,2,AST-1065_R2_001.fastq.gz,ecb715ebcabe289da3adf0b90847acf8,SAMN47202949,42852873,28514704,46.78,37.53,AST-1065_R2_001.fastq.gz,8cb2f01ab5d52e60b5adfd4c07db4ee3,18782226,17829111,SAMN47203241,
AST-1105,TP7,20210825,Ambient,1,AST-1105_R1_001.fastq.gz,2e3203fd483d5d8a774c62b477562730,NA,36082209,283,39.57,32.51,AST-1105_R1_001.fastq.gz,896aa57ab246c628c407f7e07233316d,18535712,17238126,NA,This sample was not used in analysis due to low sampling depth
AST-1105,TP7,20210825,Ambient,2,AST-1105_R2_001.fastq.gz,3b483946e262134751497c9bb15103a4,NA,409,283,38.49,32.51,AST-1105_R2_001.fastq.gz,a511cb3df229df9018ed289b5d788efd,18535712,17238126,NA,
AST-1147,TP0,20210204,Acclimation,1,AST-1147_R1_001.fastq.gz,0d32ee4d7bfba7312c84436aa262c1e4,SAMN47202950,41008372,27401584,65.36,53.81,AST-1147_R1_001.fastq.gz,68931bf8dd490f7890b94e5e9b9af57a,43815757,40415224,SAMN47203242,
AST-1147,TP0,20210204,Acclimation,2,AST-1147_R2_001.fastq.gz,c6b1b9017f4f2d51f2cace10a45e9370,SAMN47202950,41008372,27401584,65.19,53.81,AST-1147_R2_001.fastq.gz,157d57479e3a572d34f1022a2e07bd29,43815757,40415224,SAMN47203242,
AST-1412,TP5,20210625,Ambient,1,AST-1412_R1_001.fastq.gz,ddb0595aad71e74abeec4059fca5c358,SAMN47202951,33078120,23324255,41.22,34.73,AST-1412_R1_001.fastq.gz,437d3b8342e6b76c41f1753b0cb1de39,17729353,16279555,SAMN47203243,
AST-1412,TP5,20210625,Ambient,2,AST-1412_R2_001.fastq.gz,59ea3c3b6be46a74a9e47600bffb6c34,SAMN47202951,33078120,23324255,41.56,34.73,AST-1412_R2_001.fastq.gz,c80e36f15fae9ae8a96819a288516202,17729353,16279555,SAMN47203243,
AST-1560,TP7,20210825,Ambient,1,AST-1560_R1_001.fastq.gz,ebf7d02b101f5297e96708744c757761,SAMN47202952,35909631,25261438,8.85,6.56,AST-1560_R1_001.fastq.gz,09ab0ade53f64f8198c28a13e9189b56,19958419,17827024,SAMN47203244,
AST-1560,TP7,20210825,Ambient,2,AST-1560_R2_001.fastq.gz,525cf6d8c44c63757d7e35dacc921ace,SAMN47202952,35909631,25261438,7.88,6.56,AST-1560_R2_001.fastq.gz,1d4de09ed76ebcaeb366a928a594ab61,19958419,17827024,SAMN47203244,
AST-1567,TP0,20210204,Acclimation,1,AST-1567_R1_001.fastq.gz,b4677e00f0efaa4eb25bc331f9c98336,SAMN47202953,36789468,23711472,33.48,23.37,AST-1567_R1_001.fastq.gz,70af29f728d70007458178764a628e19,18414936,16611397,SAMN47203245,
AST-1567,TP0,20210204,Acclimation,2,AST-1567_R2_001.fastq.gz,da06d42ad7214eb798c5cdc16a3adc91,SAMN47202953,36789468,23711472,30.65,23.37,AST-1567_R2_001.fastq.gz,cf7d88de48466687c87183071b30c657,18414936,16611397,SAMN47203245,
