miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,mRNA_log2FoldChange,mRNA_padj,mRNA_DE,miRNA_log2FoldChange,miRNA_padj,miRNA_DE,NCBI_Description,Swiss.Prot_Description,score,energy,query_similar,subject_similar,total_bp_shared,GO_Swiss.Prot,GO_Trembl
Cluster_2003,evm.TU.chromosome_13.1876,0.5242448277,0.02121506398,0.4517967477,-1.263543999,0.00917646347,Y,-2.084022573,0.008928651577,Y,acid phosphatase type 7-like isoform X2 [Orbicella faveolata],Acid phosphatase type 7 OS=Danio rerio GN=acp7 PE=2 SV=1,151,-22.39,65.00%,75.00%,20,GO:0005576; GO:0003993; GO:0046872,GO:0003993; GO:0046872
Cluster_2003,evm.TU.chromosome_13.1876,0.5242448277,0.02121506398,0.4517967477,-1.263543999,0.00917646347,Y,-1.807889724,0.01372151167,Y,acid phosphatase type 7-like isoform X2 [Orbicella faveolata],Acid phosphatase type 7 OS=Danio rerio GN=acp7 PE=2 SV=1,151,-22.39,65.00%,75.00%,20,GO:0005576; GO:0003993; GO:0046872,GO:0003993; GO:0046872
Cluster_2003,evm.TU.chromosome_13.1876,0.5242448277,0.02121506398,0.4517967477,-1.127956053,0.01209134803,Y,-2.084022573,0.008928651577,Y,acid phosphatase type 7-like isoform X2 [Orbicella faveolata],Acid phosphatase type 7 OS=Danio rerio GN=acp7 PE=2 SV=1,151,-22.39,65.00%,75.00%,20,GO:0005576; GO:0003993; GO:0046872,GO:0003993; GO:0046872
Cluster_2003,evm.TU.chromosome_13.1876,0.5242448277,0.02121506398,0.4517967477,-1.127956053,0.01209134803,Y,-1.807889724,0.01372151167,Y,acid phosphatase type 7-like isoform X2 [Orbicella faveolata],Acid phosphatase type 7 OS=Danio rerio GN=acp7 PE=2 SV=1,151,-22.39,65.00%,75.00%,20,GO:0005576; GO:0003993; GO:0046872,GO:0003993; GO:0046872
Cluster_3293,evm.TU.chromosome_7.1248,0.02043940037,0.9338094175,0.9911316624,2.337960394,0.0438576725,Y,-1.347139578,0.03223181177,Y,eukaryotic translation initiation factor 2A-like [Orbicella faveolata],Eukaryotic translation initiation factor 2A OS=Homo sapiens GN=EIF2A PE=1 SV=3,166,-23.47,76.47%,88.24%,17,GO:0072562; GO:0005737; GO:0022627; GO:0005850; GO:0005615; GO:0045296; GO:0003729; GO:0043022; GO:0003743; GO:0000049; GO:0009967; GO:0006468; GO:0006417; GO:1990928; GO:0042255; GO:0032933,GO:0022627; GO:0003729; GO:0043022; GO:0003743; GO:0000049; GO:0006417
Cluster_1452,evm.TU.chromosome_5.2690,-0.08700988677,0.7231949712,0.9556537366,2.660397022,0.01639536344,Y,-1.910818382,0.03487820213,Y,uncharacterized protein LOC110058230 [Orbicella faveolata],NA,150,-20.51,66.67%,76.19%,21,NA,GO:0016021
Cluster_1452,evm.TU.chromosome_5.2690,-0.08700988677,0.7231949712,0.9556537366,2.245414758,0.02512223156,Y,-1.910818382,0.03487820213,Y,uncharacterized protein LOC110058230 [Orbicella faveolata],NA,150,-20.51,66.67%,76.19%,21,NA,GO:0016021
Cluster_1452,evm.TU.chromosome_5.2690,-0.08700988677,0.7231949712,0.9556537366,2.637466295,0.005151038751,Y,-1.910818382,0.03487820213,Y,uncharacterized protein LOC110058230 [Orbicella faveolata],NA,150,-20.51,66.67%,76.19%,21,NA,GO:0016021
Cluster_3037,evm.TU.chromosome_11.1959,0.3849175714,0.103667591,0.6809749075,-5.979582595,0.04357518574,Y,-1.437524244,0.021421493,Y,uncharacterized protein LOC110049187 [Orbicella faveolata],Uncharacterized skeletal organic matrix protein 5 OS=Acropora millepora PE=1 SV=1,149,-20.12,66.67%,76.19%,21,GO:0005576,
Cluster_3037,evm.TU.chromosome_11.1959,0.3849175714,0.103667591,0.6809749075,-5.979582595,0.04357518574,Y,-2.100507785,1.31E-05,Y,uncharacterized protein LOC110049187 [Orbicella faveolata],Uncharacterized skeletal organic matrix protein 5 OS=Acropora millepora PE=1 SV=1,149,-20.12,66.67%,76.19%,21,GO:0005576,
Cluster_3037,evm.TU.chromosome_11.1959,0.3849175714,0.103667591,0.6809749075,-5.979582595,0.04357518574,Y,-1.905729285,0.0001233001626,Y,uncharacterized protein LOC110049187 [Orbicella faveolata],Uncharacterized skeletal organic matrix protein 5 OS=Acropora millepora PE=1 SV=1,149,-20.12,66.67%,76.19%,21,GO:0005576,
Cluster_2003,evm.TU.chromosome_6.75,-0.3379569314,0.1570231005,0.7425913245,2.665561395,0.01013691007,Y,-2.084022573,0.008928651577,Y,uncharacterized protein LOC111336033 [Stylophora pistillata],Zinc metalloproteinase nas-14 OS=Caenorhabditis elegans GN=nas-14 PE=2 SV=2,159,-24.93,78.95%,78.95%,19,GO:0005576; GO:0004222; GO:0008270,GO:0016021
Cluster_2003,evm.TU.chromosome_6.75,-0.3379569314,0.1570231005,0.7425913245,2.665561395,0.01013691007,Y,-1.807889724,0.01372151167,Y,uncharacterized protein LOC111336033 [Stylophora pistillata],Zinc metalloproteinase nas-14 OS=Caenorhabditis elegans GN=nas-14 PE=2 SV=2,159,-24.93,78.95%,78.95%,19,GO:0005576; GO:0004222; GO:0008270,GO:0016021
Cluster_3037,evm.TU.chromosome_6.75,-0.1986736034,0.4148534094,0.8768996225,2.665561395,0.01013691007,Y,-1.437524244,0.021421493,Y,uncharacterized protein LOC111336033 [Stylophora pistillata],Zinc metalloproteinase nas-14 OS=Caenorhabditis elegans GN=nas-14 PE=2 SV=2,155,-22.46,81.25%,81.25%,16,GO:0005576; GO:0004222; GO:0008270,GO:0016021
Cluster_3037,evm.TU.chromosome_6.75,-0.1986736034,0.4148534094,0.8768996225,2.665561395,0.01013691007,Y,-2.100507785,1.31E-05,Y,uncharacterized protein LOC111336033 [Stylophora pistillata],Zinc metalloproteinase nas-14 OS=Caenorhabditis elegans GN=nas-14 PE=2 SV=2,155,-22.46,81.25%,81.25%,16,GO:0005576; GO:0004222; GO:0008270,GO:0016021
Cluster_3037,evm.TU.chromosome_6.75,-0.1986736034,0.4148534094,0.8768996225,2.665561395,0.01013691007,Y,-1.905729285,0.0001233001626,Y,uncharacterized protein LOC111336033 [Stylophora pistillata],Zinc metalloproteinase nas-14 OS=Caenorhabditis elegans GN=nas-14 PE=2 SV=2,155,-22.46,81.25%,81.25%,16,GO:0005576; GO:0004222; GO:0008270,GO:0016021
Cluster_1765,evm.TU.chromosome_14.3654,-0.1983097405,0.415725963,0.8772974016,-4.241223272,0.0007351353071,Y,1.361284008,0.03794629001,Y,PREDICTED: uncharacterized protein LOC109481127 [Branchiostoma belcheri],NA,171,-21.76,77.78%,88.89%,18,NA,GO:0016021; GO:0003677; GO:0005452; GO:0046872; GO:0015074; GO:0006310
Cluster_8986,evm.TU.chromosome_6.2732,-0.2893193765,0.2295947151,0.796043998,-1.190497565,0.035994984,Y,1.922137093,0.006380078666,Y,uncharacterized protein LOC110046851 [Orbicella faveolata],Adhesion G protein-coupled receptor L3 OS=Homo sapiens GN=ADGRL3 PE=1 SV=2,160,-20.06,68.42%,78.95%,19,GO:0030424; GO:0005911; GO:0016021; GO:0005887; GO:0005509; GO:0030246; GO:0004930; GO:0007166; GO:0098742; GO:0007186; GO:0031987; GO:0001764; GO:0051965; GO:0042220; GO:0007416,GO:0016021; GO:0005524; GO:0004930; GO:0007166
Cluster_1452,evm.TU.chromosome_13.1253,-0.1921092159,0.4307454912,0.8821284575,-9.316843856,0.03189920728,Y,-1.910818382,0.03487820213,Y,gamma-aminobutyric acid receptor subunit rho-2-like isoform X2 [Stylophora pistillata],Gamma-aminobutyric acid receptor subunit beta-2 (Fragment) OS=Bos taurus GN=GABRB2 PE=1 SV=1,168,-25.3,68.42%,89.47%,19,GO:0030054; GO:0034707; GO:0030659; GO:1902711; GO:0005887; GO:0045211; GO:0005254; GO:0005230; GO:0004890; GO:0071420; GO:1902476,GO:0016021; GO:0005886; GO:0005230; GO:0004888; GO:1902476
Cluster_3730,evm.TU.chromosome_2.753,-0.3190685419,0.1830285786,0.7644885533,-1.6604599,0.0373707509,Y,1.37667833,0.03794629001,Y,transcription factor HES-1-like [Orbicella faveolata],Transcription factor HES-4-A OS=Xenopus laevis GN=hes4-a PE=1 SV=2,159,-20.96,75.00%,75.00%,20,GO:0005634; GO:0043425; GO:0046983; GO:0043565; GO:0030509; GO:0008283; GO:0033504; GO:0002088; GO:0043066; GO:0000122; GO:0045892; GO:0014029; GO:0021501; GO:0006351,GO:0005634; GO:0003677; GO:0046983; GO:0006355; GO:0006351
Cluster_3730,evm.TU.chromosome_2.753,-0.3190685419,0.1830285786,0.7644885533,-1.6604599,0.0373707509,Y,1.46561121,0.02327430946,Y,transcription factor HES-1-like [Orbicella faveolata],Transcription factor HES-4-A OS=Xenopus laevis GN=hes4-a PE=1 SV=2,159,-20.96,75.00%,75.00%,20,GO:0005634; GO:0043425; GO:0046983; GO:0043565; GO:0030509; GO:0008283; GO:0033504; GO:0002088; GO:0043066; GO:0000122; GO:0045892; GO:0014029; GO:0021501; GO:0006351,GO:0005634; GO:0003677; GO:0046983; GO:0006355; GO:0006351
Cluster_3730,evm.TU.chromosome_2.753,-0.3190685419,0.1830285786,0.7644885533,-2.16079277,0.00549830628,Y,1.37667833,0.03794629001,Y,transcription factor HES-1-like [Orbicella faveolata],Transcription factor HES-4-A OS=Xenopus laevis GN=hes4-a PE=1 SV=2,159,-20.96,75.00%,75.00%,20,GO:0005634; GO:0043425; GO:0046983; GO:0043565; GO:0030509; GO:0008283; GO:0033504; GO:0002088; GO:0043066; GO:0000122; GO:0045892; GO:0014029; GO:0021501; GO:0006351,GO:0005634; GO:0003677; GO:0046983; GO:0006355; GO:0006351
Cluster_3730,evm.TU.chromosome_2.753,-0.3190685419,0.1830285786,0.7644885533,-2.16079277,0.00549830628,Y,1.46561121,0.02327430946,Y,transcription factor HES-1-like [Orbicella faveolata],Transcription factor HES-4-A OS=Xenopus laevis GN=hes4-a PE=1 SV=2,159,-20.96,75.00%,75.00%,20,GO:0005634; GO:0043425; GO:0046983; GO:0043565; GO:0030509; GO:0008283; GO:0033504; GO:0002088; GO:0043066; GO:0000122; GO:0045892; GO:0014029; GO:0021501; GO:0006351,GO:0005634; GO:0003677; GO:0046983; GO:0006355; GO:0006351
Cluster_8986,evm.TU.chromosome_6.2479,0.2270307083,0.349939596,0.8546656035,1.840559319,0.04203568538,Y,1.922137093,0.006380078666,Y,tenascin-like [Orbicella faveolata],NA,166,-22.38,73.68%,89.47%,19,NA,GO:0016021
Cluster_4640,evm.TU.chromosome_7.2395,0.8230005035,1.51E-05,0.02354806662,3.236201648,0.0007259659001,Y,1.482947692,0.04030504797,Y,uncharacterized protein LOC110041422 [Orbicella faveolata],NA,162,-22.07,75.00%,80.00%,20,NA,GO:0016021; GO:0004930
Cluster_4640,evm.TU.chromosome_7.2395,0.8230005035,1.51E-05,0.02354806662,3.236201648,0.0007259659001,Y,1.31187539,0.03794629001,Y,uncharacterized protein LOC110041422 [Orbicella faveolata],NA,162,-22.07,75.00%,80.00%,20,NA,GO:0016021; GO:0004930
Cluster_4640,evm.TU.chromosome_7.2395,0.8230005035,1.51E-05,0.02354806662,3.236201648,0.0007259659001,Y,1.86456531,0.0009935024121,Y,uncharacterized protein LOC110041422 [Orbicella faveolata],NA,162,-22.07,75.00%,80.00%,20,NA,GO:0016021; GO:0004930
Cluster_4640,evm.TU.chromosome_7.2395,0.8230005035,1.51E-05,0.02354806662,2.802984291,0.005515317979,Y,1.482947692,0.04030504797,Y,uncharacterized protein LOC110041422 [Orbicella faveolata],NA,162,-22.07,75.00%,80.00%,20,NA,GO:0016021; GO:0004930
Cluster_4640,evm.TU.chromosome_7.2395,0.8230005035,1.51E-05,0.02354806662,2.802984291,0.005515317979,Y,1.31187539,0.03794629001,Y,uncharacterized protein LOC110041422 [Orbicella faveolata],NA,162,-22.07,75.00%,80.00%,20,NA,GO:0016021; GO:0004930
Cluster_4640,evm.TU.chromosome_7.2395,0.8230005035,1.51E-05,0.02354806662,2.802984291,0.005515317979,Y,1.86456531,0.0009935024121,Y,uncharacterized protein LOC110041422 [Orbicella faveolata],NA,162,-22.07,75.00%,80.00%,20,NA,GO:0016021; GO:0004930
Cluster_8986,evm.TU.chromosome_11.1886,-0.1356821586,0.579684559,0.923783634,22.07898749,1.04E-06,Y,1.922137093,0.006380078666,Y,PREDICTED: histone H3-3-like [Acropora digitifera],Histone H3 OS=Euplotes crassus PE=3 SV=3,173,-24.15,87.50%,93.75%,16,GO:0000786; GO:0005634; GO:0003677; GO:0046982,GO:0000786; GO:0005634; GO:0003677; GO:0046982
