mRNA,GO,Term,Annotated,Significant,Expected,Fisher,ontology,sig.prop,Month
evm.TU.chromosome_1.1449,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February 
evm.TU.chromosome_1.1447,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February 
evm.TU.chromosome_1.1175,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February 
evm.TU.chromosome_1.1172,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_1.1173,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_1.965,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_1.965,GO:0010718,positive regulation of epithelial to mesenchymal tr...,50,4,0.77,0.00713,Biological Processes,0.08,February
evm.TU.chromosome_1.965,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_1.965,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_1.965,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Biological Processes,0.0310880829,February
evm.TU.chromosome_1.1521,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_1.1284,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_1.1755,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_1.1042,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_1.1046,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_1.112,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_1.112,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Biological Processes,0.05263157895,February
evm.TU.chromosome_1.938,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Biological Processes,0.1219512195,February
evm.TU.chromosome_1.517,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February
evm.TU.chromosome_1.285,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_1.283,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Biological Processes,0.05263157895,February
evm.TU.chromosome_1.1257,GO:0033619,membrane protein proteolysis,117,5,1.79,0.01264,Biological Processes,0.04273504274,February
evm.TU.chromosome_1.1254,GO:0033619,membrane protein proteolysis,117,5,1.79,0.01264,Biological Processes,0.04273504274,February
evm.TU.chromosome_1.1420,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_1.417,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_1.416,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_1.1098,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_1.1098,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_1.1831,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_1.940,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_1.1544,GO:0010634,positive regulation of epithelial cell migration,53,4,0.81,0.00874,Biological Processes,0.07547169811,February
evm.TU.chromosome_1.1542,GO:0010634,positive regulation of epithelial cell migration,53,4,0.81,0.00874,Biological Processes,0.07547169811,February
evm.TU.chromosome_1.1541,GO:0010634,positive regulation of epithelial cell migration,53,4,0.81,0.00874,Biological Processes,0.07547169811,February
evm.TU.chromosome_1.1023.1.5f15dce0,GO:0030261,chromosome condensation,37,4,0.57,0.00239,Biological Processes,0.1081081081,February
evm.TU.chromosome_1.422,GO:0050790,regulation of catalytic activity,1442,21,22.08,0.00345,Biological Processes,0.0145631068,February
evm.TU.chromosome_1.22,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_1.546,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_1.721,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_1.680,GO:0001568,blood vessel development,585,12,8.96,0.01126,Biological Processes,0.02051282051,February
evm.TU.chromosome_1.341,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_1.557,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_1.102,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_1.102,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Biological Processes,0.05263157895,February
evm.TU.chromosome_1.57,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_1.57,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Biological Processes,0.05263157895,February
evm.TU.chromosome_1.59,GO:0001568,blood vessel development,585,12,8.96,0.01126,Biological Processes,0.02051282051,February
evm.TU.chromosome_1.1891,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_1.1891,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_1.1898,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_1.185,GO:0030042,actin filament depolymerization,46,4,0.7,0.00529,Biological Processes,0.08695652174,February
evm.TU.chromosome_1.185,GO:0010634,positive regulation of epithelial cell migration,53,4,0.81,0.00874,Biological Processes,0.07547169811,February
evm.TU.chromosome_1.290,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Biological Processes,0.1,February
evm.TU.chromosome_1.833.1.5f168710,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Biological Processes,0.1219512195,February
evm.TU.chromosome_1.835,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_1.1450,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_1.368,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_1.240,GO:0006879,intracellular iron ion homeostasis,48,4,0.73,0.00616,Biological Processes,0.08333333333,February
evm.TU.chromosome_1.864,GO:0010718,positive regulation of epithelial to mesenchymal tr...,50,4,0.77,0.00713,Biological Processes,0.08,February
evm.TU.chromosome_1.864,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Biological Processes,0.0310880829,February
evm.TU.chromosome_1.339,GO:0001568,blood vessel development,585,12,8.96,0.01126,Biological Processes,0.02051282051,February
evm.TU.chromosome_1.1586,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_1.903,GO:0030048,actin filament-based movement,62,6,0.95,0.00693,Biological Processes,0.09677419355,February
evm.TU.chromosome_1.278,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_1.567,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_1.566,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_1.564,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_1.332_evm.TU.chromosome_1.328,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_1.859,GO:0033344,cholesterol efflux,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_1.306,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_1.1887,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Biological Processes,0.1,February
evm.TU.chromosome_1.1603,GO:0006879,intracellular iron ion homeostasis,48,4,0.73,0.00616,Biological Processes,0.08333333333,February
evm.TU.chromosome_1.1607,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_1.645,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_1.645,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_1.1106,GO:0006309,apoptotic DNA fragmentation,15,3,0.23,0.01165,Biological Processes,0.2,February
evm.TU.chromosome_1.1109,GO:0010634,positive regulation of epithelial cell migration,53,4,0.81,0.00874,Biological Processes,0.07547169811,February
evm.TU.chromosome_1.1109,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_1.1109,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Biological Processes,0.0310880829,February
evm.TU.chromosome_1.221,GO:0030042,actin filament depolymerization,46,4,0.7,0.00529,Biological Processes,0.08695652174,February
evm.TU.chromosome_1.221,GO:0010634,positive regulation of epithelial cell migration,53,4,0.81,0.00874,Biological Processes,0.07547169811,February
evm.TU.chromosome_1.222,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February
evm.TU.chromosome_1.222,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February
evm.TU.chromosome_1.223,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February
evm.TU.chromosome_1.537,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_1.1162,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February
evm.TU.chromosome_1.776,GO:0061077,chaperone-mediated protein folding,41,3,0.63,0.02467,Biological Processes,0.07317073171,February
