miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,score,energy,query_start_end,subject_start_end,total_bp_shared,query_similar,subject_similar,Swiss.Prot_Hit,SP_E.value,Swiss.Prot_Description,Trembl_Hit,TB_E.value,Trembl_Description,NCBI_hit,nr_E.value,NCBI_Description,GO_Swiss.Prot,GO_Trembl
Cluster_4640,evm.TU.chromosome_10.779,0.2119785594,0.383630394,0.866785632,159,-21.38,2 18,358 381,18,77.78%,88.89%,sp|Q9UJW8|ZN180_HUMAN,6.43E-113,Zinc finger protein 180 OS=Homo sapiens GN=ZNF180 PE=1 SV=2,tr|A2ARX0|A2ARX0_MOUSE,3.90E-121,Predicted gene 14443 OS=Mus musculus GN=Gm14443 PE=4 SV=1,ref|XP_020608252.1|,1.15E-129,zinc finger protein 501-like [Orbicella faveolata],GO:0005634; GO:0003677; GO:0046872; GO:0006355; GO:0006351,GO:0005622; GO:0003700; GO:0046872; GO:0003676; GO:0006355
Cluster_4831,evm.TU.chromosome_9.2639,0.2198943481,0.3656939948,0.8604596767,168,-21.52,2 17,574 595,15,86.67%,93.33%,sp|Q5U374|KLH12_DANRE,1.19E-67,Kelch-like protein 12 OS=Danio rerio GN=klhl12 PE=2 SV=2,tr|A0A2B4RWY5|A0A2B4RWY5_STYPI,0,Kelch-like protein 12 OS=Stylophora pistillata GN=klhl12 PE=4 SV=1,ref|XP_020611437.1|,0,kelch-like protein 12 [Orbicella faveolata],GO:0030127; GO:0030134; GO:0031463; GO:0000139; GO:0009952; GO:0060028; GO:0048208; GO:0006888; GO:0014032; GO:0014029; GO:0006513; GO:0016055,GO:0016021
Cluster_3331,evm.TU.chromosome_5.2393,-0.1193489231,0.6265009267,0.9347681663,169,-21.95,2 19,373 395,18,83.33%,88.89%,sp|Q8N695|SC5A8_HUMAN,1.62E-122,Sodium-coupled monocarboxylate transporter 1 OS=Homo sapiens GN=SLC5A8 PE=1 SV=2,tr|A0A2B4S916|A0A2B4S916_STYPI,0,Sodium-coupled monocarboxylate transporter 1 OS=Stylophora pistillata GN=Slc5a8 PE=4 SV=1,ref|XP_020606927.1|,0,sodium-coupled monocarboxylate transporter 1-like [Orbicella faveolata],GO:0016324; GO:0070062; GO:0016021; GO:0005886; GO:0008028; GO:0022803; GO:0015293; GO:0006915; GO:0006811; GO:0034356; GO:0006814,GO:0016021; GO:0022857
Cluster_3337,evm.TU.chromosome_5.2393,-0.3135362855,0.1911631718,0.7708840951,169,-21.95,2 19,373 395,18,83.33%,88.89%,sp|Q8N695|SC5A8_HUMAN,1.62E-122,Sodium-coupled monocarboxylate transporter 1 OS=Homo sapiens GN=SLC5A8 PE=1 SV=2,tr|A0A2B4S916|A0A2B4S916_STYPI,0,Sodium-coupled monocarboxylate transporter 1 OS=Stylophora pistillata GN=Slc5a8 PE=4 SV=1,ref|XP_020606927.1|,0,sodium-coupled monocarboxylate transporter 1-like [Orbicella faveolata],GO:0016324; GO:0070062; GO:0016021; GO:0005886; GO:0008028; GO:0022803; GO:0015293; GO:0006915; GO:0006811; GO:0034356; GO:0006814,GO:0016021; GO:0022857
Cluster_3338,evm.TU.chromosome_5.2393,-0.3268382048,0.1720026174,0.7559094781,169,-21.95,2 19,373 395,18,83.33%,88.89%,sp|Q8N695|SC5A8_HUMAN,1.62E-122,Sodium-coupled monocarboxylate transporter 1 OS=Homo sapiens GN=SLC5A8 PE=1 SV=2,tr|A0A2B4S916|A0A2B4S916_STYPI,0,Sodium-coupled monocarboxylate transporter 1 OS=Stylophora pistillata GN=Slc5a8 PE=4 SV=1,ref|XP_020606927.1|,0,sodium-coupled monocarboxylate transporter 1-like [Orbicella faveolata],GO:0016324; GO:0070062; GO:0016021; GO:0005886; GO:0008028; GO:0022803; GO:0015293; GO:0006915; GO:0006811; GO:0034356; GO:0006814,GO:0016021; GO:0022857
Cluster_1453,evm.TU.chromosome_13.1603,-0.07895348722,0.7479920073,0.9603591585,166,-20.44,2 20,712 734,19,73.68%,89.47%,sp|P23049|SEA_AVIET,1.41E-61,Tyrosine-protein kinase transforming protein SEA OS=Avian erythroblastosis virus (strain S13) GN=V-SEA PE=3 SV=2,tr|A0A2B4S2L3|A0A2B4S2L3_STYPI,0,Tyrosine-protein kinase transforming protein SEA OS=Stylophora pistillata GN=V-SEA PE=4 SV=1,ref|XP_020629538.1|,0,tyrosine-protein kinase RYK-like [Orbicella faveolata],GO:0005524; GO:0004715,GO:0016021; GO:0005524; GO:0004672
Cluster_1663,evm.TU.chromosome_14.5968_evm.TU.chromosome_14.5971,0.1905009138,0.4346874004,0.8832760839,172,-21.8,2 20,671 692,19,89.47%,89.47%,sp|Q5TZ24|MOXD1_DANRE,8.42E-15,DBH-like monooxygenase protein 1 homolog OS=Danio rerio GN=moxd1 PE=2 SV=2,tr|A0A2B4RMV4|A0A2B4RMV4_STYPI,1.31E-74,DBH-like monooxygenase protein 1-like OS=Stylophora pistillata GN=moxd1 PE=4 SV=1,ref|XP_022777654.1|,3.91E-82,"uncharacterized protein LOC111319088, partial [Stylophora pistillata]",GO:0005789; GO:0005615; GO:0016021; GO:0030667; GO:0005507; GO:0004500; GO:0042420; GO:0042421; GO:0006589,GO:0004497
Cluster_3331,evm.TU.chromosome_5.1575,-0.06279731454,0.7984175079,0.9695515254,151,-23.28,2 21,698 720,20,70.00%,70.00%,sp|O95232|LC7L3_HUMAN,1.49E-111,Luc7-like protein 3 OS=Homo sapiens GN=LUC7L3 PE=1 SV=2,tr|A0A2B4RT92|A0A2B4RT92_STYPI,9.92E-174,Luc7-like protein 3 OS=Stylophora pistillata GN=LUC7L3 PE=4 SV=1,ref|XP_020609304.1|,1.16E-178,luc7-like protein 3 [Orbicella faveolata],GO:0016607; GO:0005654; GO:0005634; GO:0005685; GO:0071004; GO:0003677; GO:0003729; GO:0003723; GO:0006376; GO:0008380,GO:0005685; GO:0003729; GO:0006376
Cluster_3337,evm.TU.chromosome_5.1575,-0.2289397555,0.3457925533,0.852949344,151,-23.28,2 21,698 720,20,70.00%,70.00%,sp|O95232|LC7L3_HUMAN,1.49E-111,Luc7-like protein 3 OS=Homo sapiens GN=LUC7L3 PE=1 SV=2,tr|A0A2B4RT92|A0A2B4RT92_STYPI,9.92E-174,Luc7-like protein 3 OS=Stylophora pistillata GN=LUC7L3 PE=4 SV=1,ref|XP_020609304.1|,1.16E-178,luc7-like protein 3 [Orbicella faveolata],GO:0016607; GO:0005654; GO:0005634; GO:0005685; GO:0071004; GO:0003677; GO:0003729; GO:0003723; GO:0006376; GO:0008380,GO:0005685; GO:0003729; GO:0006376
Cluster_3338,evm.TU.chromosome_5.1575,-0.2370785636,0.3284340972,0.8457620716,151,-23.28,2 21,698 720,20,70.00%,70.00%,sp|O95232|LC7L3_HUMAN,1.49E-111,Luc7-like protein 3 OS=Homo sapiens GN=LUC7L3 PE=1 SV=2,tr|A0A2B4RT92|A0A2B4RT92_STYPI,9.92E-174,Luc7-like protein 3 OS=Stylophora pistillata GN=LUC7L3 PE=4 SV=1,ref|XP_020609304.1|,1.16E-178,luc7-like protein 3 [Orbicella faveolata],GO:0016607; GO:0005654; GO:0005634; GO:0005685; GO:0071004; GO:0003677; GO:0003729; GO:0003723; GO:0006376; GO:0008380,GO:0005685; GO:0003729; GO:0006376
