gene_name,GeneOntologyIDs,Term,Annotated,Significant,Expected,Fisher,ontology,mirna,Target,Score,Energy_kcal_mol,Query_start_end,Subject_start_end,Length,Query_Identity,Subject_Identity,prop.sig.genes,Species
LOC114946914,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-22,ID=gene-LOC114946914;Dbxref=GeneID:114946914;Name=LOC114946914;gbkey=Gene;gene=LOC114946914;gene_biotype=protein_coding::NC_058075.1:19962214-19963214,158,-20.32,2 21,270 290,19,68.42%,84.21%,0.11875,Acropora pulchra
LOC114946914,GO:0097475,motor neuron migration,14,5,1.31,0.00115,Biological Processes,apul-mir-novel-22,ID=gene-LOC114946914;Dbxref=GeneID:114946914;Name=LOC114946914;gbkey=Gene;gene=LOC114946914;gene_biotype=protein_coding::NC_058075.1:19962214-19963214,158,-20.32,2 21,270 290,19,68.42%,84.21%,0.3571428571,Acropora pulchra
LOC114947438,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-novel-8a,ID=gene-LOC114947438;Dbxref=GeneID:114947438;Name=LOC114947438;gbkey=Gene;gene=LOC114947438;gene_biotype=protein_coding::NW_025322870.1:14652-15598,150,-20.36,2 21,132 157,23,69.57%,69.57%,0.1460176991,Acropora pulchra
LOC114947438,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-novel-8b,ID=gene-LOC114947438;Dbxref=GeneID:114947438;Name=LOC114947438;gbkey=Gene;gene=LOC114947438;gene_biotype=protein_coding::NW_025322870.1:14652-15598,150,-20.36,2 21,132 157,23,69.57%,69.57%,0.1460176991,Acropora pulchra
LOC114947438,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-novel-9,ID=gene-LOC114947438;Dbxref=GeneID:114947438;Name=LOC114947438;gbkey=Gene;gene=LOC114947438;gene_biotype=protein_coding::NW_025322870.1:14652-15598,176,-25.28,2 21,191 213,19,84.21%,84.21%,0.1460176991,Acropora pulchra
LOC114948327,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-4,ID=gene-LOC114948327;Dbxref=GeneID:114948327;Name=LOC114948327;gbkey=Gene;gene=LOC114948327;gene_biotype=protein_coding::NC_058066.1:34397132-34398132,155,-22.25,2 12,755 775,10,100.00%,100.00%,0.1120567376,Acropora pulchra
LOC114949687,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-22,ID=gene-LOC114949687;Dbxref=GeneID:114949687;Name=LOC114949687;gbkey=Gene;gene=LOC114949687;gene_biotype=protein_coding::NC_058066.1:19474800-19475800,166,-22.39,2 20,147 169,19,73.68%,89.47%,0.11875,Acropora pulchra
LOC114950337,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-novel-5,ID=gene-LOC114950337;Dbxref=GeneID:114950337;Name=LOC114950337;gbkey=Gene;gene=LOC114950337;gene_biotype=protein_coding::NC_058071.1:5955695-5956695,167,-23.83,2 22,473 498,22,77.27%,81.82%,0.1460176991,Acropora pulchra
LOC114953994,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-15,ID=gene-LOC114953994;Dbxref=GeneID:114953994;Name=LOC114953994;gbkey=Gene;gene=LOC114953994;gene_biotype=protein_coding::NC_058073.1:12186295-12187295,155,-20.56,2 21,223 245,20,70.00%,75.00%,0.11875,Acropora pulchra
LOC114953994,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-15,ID=gene-LOC114953994;Dbxref=GeneID:114953994;Name=LOC114953994;gbkey=Gene;gene=LOC114953994;gene_biotype=protein_coding::NC_058073.1:12186295-12187295,155,-20.56,2 21,223 245,20,70.00%,75.00%,0.11875,Acropora pulchra
