miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,score.x,energy,query_start_end,subject_start_end,total_bp_shared,query_similar,subject_similar,moduleColor,hpf_1,hpf_4,hpf_9,hpf_14,hpf_22,hpf_28,hpf_48,hpf_72,hpf_1.1,hpf_4.1,hpf_9.1,hpf_14.1,hpf_22.1,hpf_28.1,hpf_48.1,hpf_72.1,category,GOs.x,Term,Annotated,Significant,Expected,Fisher,ontology,sig.prop,seed_ortholog,evalue,score.y,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs.y,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___RNAseq.g41624.t1,-0.7354180455,0.03760200201,0.1751662754,162,-21.92,2 23,511 534,21,57.14%,85.71%,green,0.3466612067,0.2164081978,0.1476819357,0.2986255637,-0.1164934286,-0.09564764245,-0.3587420526,-0.4384937803,0.05192628203,0.2341858655,0.4198885352,0.09687425195,0.5254704793,0.6025517367,0.04376988473,0.01205944046,Maternal,GO:0006812,monoatomic cation transport,62,7,6.36,0.0381,Biological Processes,0.1129032258,45351.EDO45549,1.77E-114,338,"KOG0766@1|root,KOG0766@2759|Eukaryota,39TKN@33154|Opisthokonta,3BH7J@33208|Metazoa",33208|Metazoa,C,glycine import into mitochondrion,SLC25A38,"GO:0002262,GO:0002376,GO:0002520,GO:0003333,GO:0003674,GO:0005215,GO:0005326,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006836,GO:0006839,GO:0006855,GO:0006865,GO:0007275,GO:0008150,GO:0008152,GO:0008324,GO:0008509,GO:0008514,GO:0009058,GO:0009059,GO:0009987,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015187,GO:0015238,GO:0015318,GO:0015711,GO:0015804,GO:0015807,GO:0015816,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0018130,GO:0019438,GO:0019538,GO:0019866,GO:0020027,GO:0022857,GO:0030097,GO:0030099,GO:0030154,GO:0030218,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0033013,GO:0033014,GO:0034101,GO:0034220,GO:0034641,GO:0034645,GO:0042168,GO:0042221,GO:0042440,GO:0042493,GO:0042541,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046148,GO:0046483,GO:0046942,GO:0046943,GO:0048513,GO:0048534,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050896,GO:0051179,GO:0051186,GO:0051188,GO:0051234,GO:0055085,GO:0065007,GO:0065008,GO:0071702,GO:0071704,GO:0071705,GO:0098655,GO:0098656,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902475,GO:1903825,GO:1905039",-,ko:K15118,-,-,-,-,"ko00000,ko02000",2.A.29,-,-,Mito_carr
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___RNAseq.g41624.t1,-0.7354180455,0.03760200201,0.1751662754,162,-21.92,2 23,511 534,21,57.14%,85.71%,green,0.3466612067,0.2164081978,0.1476819357,0.2986255637,-0.1164934286,-0.09564764245,-0.3587420526,-0.4384937803,0.05192628203,0.2341858655,0.4198885352,0.09687425195,0.5254704793,0.6025517367,0.04376988473,0.01205944046,Maternal,GO:0048534,hematopoietic or lymphoid organ development,34,7,3.49,0.02,Biological Processes,0.2058823529,45351.EDO45549,1.77E-114,338,"KOG0766@1|root,KOG0766@2759|Eukaryota,39TKN@33154|Opisthokonta,3BH7J@33208|Metazoa",33208|Metazoa,C,glycine import into mitochondrion,SLC25A38,"GO:0002262,GO:0002376,GO:0002520,GO:0003333,GO:0003674,GO:0005215,GO:0005326,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006836,GO:0006839,GO:0006855,GO:0006865,GO:0007275,GO:0008150,GO:0008152,GO:0008324,GO:0008509,GO:0008514,GO:0009058,GO:0009059,GO:0009987,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015187,GO:0015238,GO:0015318,GO:0015711,GO:0015804,GO:0015807,GO:0015816,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0018130,GO:0019438,GO:0019538,GO:0019866,GO:0020027,GO:0022857,GO:0030097,GO:0030099,GO:0030154,GO:0030218,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0033013,GO:0033014,GO:0034101,GO:0034220,GO:0034641,GO:0034645,GO:0042168,GO:0042221,GO:0042440,GO:0042493,GO:0042541,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046148,GO:0046483,GO:0046942,GO:0046943,GO:0048513,GO:0048534,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050896,GO:0051179,GO:0051186,GO:0051188,GO:0051234,GO:0055085,GO:0065007,GO:0065008,GO:0071702,GO:0071704,GO:0071705,GO:0098655,GO:0098656,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902475,GO:1903825,GO:1905039",-,ko:K15118,-,-,-,-,"ko00000,ko02000",2.A.29,-,-,Mito_carr
Montipora_capitata_HIv3___Scaffold_8_483169,Montipora_capitata_HIv3___RNAseq.g4335.t3,-0.9015533323,0.002212649343,0.0589596266,145,-20.15,2 10,497 519,8,100.00%,100.00%,green,0.390424294,0.2748478349,0.3457210601,0.2507673424,-0.1867738556,-0.2177480748,-0.4691933545,-0.3880452463,0.02715950663,0.1279070445,0.05260843942,0.1662506493,0.3060435877,0.2312315029,0.006748857752,0.02819321249,Maternal,GO:0007283,spermatogenesis,36,8,3.7,0.0073,Biological Processes,0.2222222222,9986.ENSOCUP00000006356,7.32E-56,204,"KOG0167@1|root,KOG0167@2759|Eukaryota,38BE5@33154|Opisthokonta,3BDI2@33208|Metazoa,3CWW7@33213|Bilateria,482VF@7711|Chordata,48YSP@7742|Vertebrata,3J2V5@40674|Mammalia,35HDE@314146|Euarchontoglires",33208|Metazoa,S,Armadillo repeat containing 4,ARMC4,"GO:0000003,GO:0000226,GO:0001578,GO:0003006,GO:0003341,GO:0003352,GO:0003356,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005856,GO:0005929,GO:0005930,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007291,GO:0007349,GO:0007368,GO:0007389,GO:0007399,GO:0007417,GO:0007420,GO:0007507,GO:0008150,GO:0009653,GO:0009799,GO:0009855,GO:0009987,GO:0016043,GO:0019953,GO:0021591,GO:0022412,GO:0022414,GO:0022607,GO:0030030,GO:0030031,GO:0030154,GO:0032501,GO:0032502,GO:0032504,GO:0032838,GO:0032879,GO:0032886,GO:0034622,GO:0035082,GO:0036158,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0048232,GO:0048468,GO:0048513,GO:0048515,GO:0048609,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051270,GO:0051704,GO:0060271,GO:0060322,GO:0060632,GO:0065003,GO:0065007,GO:0070286,GO:0070925,GO:0071840,GO:0072359,GO:0097014,GO:0097546,GO:0099568,GO:0120025,GO:0120031,GO:0120036,GO:0120038",-,-,-,-,-,-,-,-,-,-,Arm
Montipora_capitata_HIv3___Scaffold_8_483169,Montipora_capitata_HIv3___RNAseq.g4335.t3,-0.9015533323,0.002212649343,0.0589596266,145,-20.15,2 10,497 519,8,100.00%,100.00%,green,0.390424294,0.2748478349,0.3457210601,0.2507673424,-0.1867738556,-0.2177480748,-0.4691933545,-0.3880452463,0.02715950663,0.1279070445,0.05260843942,0.1662506493,0.3060435877,0.2312315029,0.006748857752,0.02819321249,Maternal,GO:0007507,heart development,48,8,4.93,0.043,Biological Processes,0.1666666667,9986.ENSOCUP00000006356,7.32E-56,204,"KOG0167@1|root,KOG0167@2759|Eukaryota,38BE5@33154|Opisthokonta,3BDI2@33208|Metazoa,3CWW7@33213|Bilateria,482VF@7711|Chordata,48YSP@7742|Vertebrata,3J2V5@40674|Mammalia,35HDE@314146|Euarchontoglires",33208|Metazoa,S,Armadillo repeat containing 4,ARMC4,"GO:0000003,GO:0000226,GO:0001578,GO:0003006,GO:0003341,GO:0003352,GO:0003356,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005856,GO:0005929,GO:0005930,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007291,GO:0007349,GO:0007368,GO:0007389,GO:0007399,GO:0007417,GO:0007420,GO:0007507,GO:0008150,GO:0009653,GO:0009799,GO:0009855,GO:0009987,GO:0016043,GO:0019953,GO:0021591,GO:0022412,GO:0022414,GO:0022607,GO:0030030,GO:0030031,GO:0030154,GO:0032501,GO:0032502,GO:0032504,GO:0032838,GO:0032879,GO:0032886,GO:0034622,GO:0035082,GO:0036158,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0048232,GO:0048468,GO:0048513,GO:0048515,GO:0048609,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051270,GO:0051704,GO:0060271,GO:0060322,GO:0060632,GO:0065003,GO:0065007,GO:0070286,GO:0070925,GO:0071840,GO:0072359,GO:0097014,GO:0097546,GO:0099568,GO:0120025,GO:0120031,GO:0120036,GO:0120038",-,-,-,-,-,-,-,-,-,-,Arm
Montipora_capitata_HIv3___Scaffold_8_483169,Montipora_capitata_HIv3___RNAseq.g4335.t3,-0.9015533323,0.002212649343,0.0589596266,145,-20.15,2 10,497 519,8,100.00%,100.00%,green,0.390424294,0.2748478349,0.3457210601,0.2507673424,-0.1867738556,-0.2177480748,-0.4691933545,-0.3880452463,0.02715950663,0.1279070445,0.05260843942,0.1662506493,0.3060435877,0.2312315029,0.006748857752,0.02819321249,Maternal,GO:0022412,cellular process involved in reproduction in multic...,84,13,8.62,0.0274,Biological Processes,0.1547619048,9986.ENSOCUP00000006356,7.32E-56,204,"KOG0167@1|root,KOG0167@2759|Eukaryota,38BE5@33154|Opisthokonta,3BDI2@33208|Metazoa,3CWW7@33213|Bilateria,482VF@7711|Chordata,48YSP@7742|Vertebrata,3J2V5@40674|Mammalia,35HDE@314146|Euarchontoglires",33208|Metazoa,S,Armadillo repeat containing 4,ARMC4,"GO:0000003,GO:0000226,GO:0001578,GO:0003006,GO:0003341,GO:0003352,GO:0003356,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005856,GO:0005929,GO:0005930,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007291,GO:0007349,GO:0007368,GO:0007389,GO:0007399,GO:0007417,GO:0007420,GO:0007507,GO:0008150,GO:0009653,GO:0009799,GO:0009855,GO:0009987,GO:0016043,GO:0019953,GO:0021591,GO:0022412,GO:0022414,GO:0022607,GO:0030030,GO:0030031,GO:0030154,GO:0032501,GO:0032502,GO:0032504,GO:0032838,GO:0032879,GO:0032886,GO:0034622,GO:0035082,GO:0036158,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0048232,GO:0048468,GO:0048513,GO:0048515,GO:0048609,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051270,GO:0051704,GO:0060271,GO:0060322,GO:0060632,GO:0065003,GO:0065007,GO:0070286,GO:0070925,GO:0071840,GO:0072359,GO:0097014,GO:0097546,GO:0099568,GO:0120025,GO:0120031,GO:0120036,GO:0120038",-,-,-,-,-,-,-,-,-,-,Arm
Montipora_capitata_HIv3___Scaffold_8_483169,Montipora_capitata_HIv3___RNAseq.g4335.t3,-0.9015533323,0.002212649343,0.0589596266,145,-20.15,2 10,497 519,8,100.00%,100.00%,green,0.390424294,0.2748478349,0.3457210601,0.2507673424,-0.1867738556,-0.2177480748,-0.4691933545,-0.3880452463,0.02715950663,0.1279070445,0.05260843942,0.1662506493,0.3060435877,0.2312315029,0.006748857752,0.02819321249,Maternal,GO:0044703,multi-organism reproductive process,101,15,10.37,0.0171,Biological Processes,0.1485148515,9986.ENSOCUP00000006356,7.32E-56,204,"KOG0167@1|root,KOG0167@2759|Eukaryota,38BE5@33154|Opisthokonta,3BDI2@33208|Metazoa,3CWW7@33213|Bilateria,482VF@7711|Chordata,48YSP@7742|Vertebrata,3J2V5@40674|Mammalia,35HDE@314146|Euarchontoglires",33208|Metazoa,S,Armadillo repeat containing 4,ARMC4,"GO:0000003,GO:0000226,GO:0001578,GO:0003006,GO:0003341,GO:0003352,GO:0003356,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005856,GO:0005929,GO:0005930,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007291,GO:0007349,GO:0007368,GO:0007389,GO:0007399,GO:0007417,GO:0007420,GO:0007507,GO:0008150,GO:0009653,GO:0009799,GO:0009855,GO:0009987,GO:0016043,GO:0019953,GO:0021591,GO:0022412,GO:0022414,GO:0022607,GO:0030030,GO:0030031,GO:0030154,GO:0032501,GO:0032502,GO:0032504,GO:0032838,GO:0032879,GO:0032886,GO:0034622,GO:0035082,GO:0036158,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0048232,GO:0048468,GO:0048513,GO:0048515,GO:0048609,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051270,GO:0051704,GO:0060271,GO:0060322,GO:0060632,GO:0065003,GO:0065007,GO:0070286,GO:0070925,GO:0071840,GO:0072359,GO:0097014,GO:0097546,GO:0099568,GO:0120025,GO:0120031,GO:0120036,GO:0120038",-,-,-,-,-,-,-,-,-,-,Arm
Montipora_capitata_HIv3___Scaffold_8_571913,Montipora_capitata_HIv3___RNAseq.g12155.t2,-0.785713126,0.02081544564,0.1345568685,161,-20.66,2 21,304 328,21,76.19%,80.95%,green,0.2441869634,0.1846590017,0.318230884,0.4934335692,-0.2475896617,-0.4788873484,-0.392628284,-0.1214051241,0.1780234958,0.3116508851,0.07589214023,0.004107734141,0.1718644015,0.005556925963,0.02622975288,0.5080337803,Maternal,GO:0045892,negative regulation of DNA-templated transcription,61,8,6.26,0.0224,Biological Processes,0.131147541,45351.EDO39278,1.64E-236,685,"KOG3766@1|root,KOG3766@2759|Eukaryota,38D07@33154|Opisthokonta,3BC4J@33208|Metazoa",33208|Metazoa,K,lethal(3)malignant brain tumor-like protein,L3MBTL3,"GO:0000122,GO:0000785,GO:0000793,GO:0001700,GO:0002262,GO:0002376,GO:0002520,GO:0002521,GO:0002573,GO:0002682,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005700,GO:0005730,GO:0005737,GO:0005886,GO:0006325,GO:0006355,GO:0006357,GO:0006810,GO:0006996,GO:0007088,GO:0007097,GO:0007275,GO:0007346,GO:0007347,GO:0007399,GO:0007405,GO:0008150,GO:0008283,GO:0008285,GO:0009790,GO:0009792,GO:0009794,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010564,GO:0010605,GO:0010629,GO:0010646,GO:0016020,GO:0016043,GO:0019219,GO:0019222,GO:0019904,GO:0021700,GO:0022008,GO:0023051,GO:0030097,GO:0030099,GO:0030154,GO:0030218,GO:0030225,GO:0030851,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031490,GO:0031491,GO:0031493,GO:0031523,GO:0031974,GO:0031981,GO:0032093,GO:0032501,GO:0032502,GO:0032991,GO:0033043,GO:0034101,GO:0035064,GO:0035190,GO:0040029,GO:0042127,GO:0042393,GO:0042592,GO:0042802,GO:0043035,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043249,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044464,GO:0044877,GO:0045595,GO:0045637,GO:0045652,GO:0045892,GO:0045934,GO:0045995,GO:0046907,GO:0048468,GO:0048469,GO:0048513,GO:0048519,GO:0048523,GO:0048534,GO:0048583,GO:0048699,GO:0048731,GO:0048821,GO:0048856,GO:0048869,GO:0048872,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051239,GO:0051252,GO:0051253,GO:0051276,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051656,GO:0051726,GO:0051783,GO:0060255,GO:0061351,GO:0061515,GO:0065007,GO:0065008,GO:0070013,GO:0071695,GO:0071840,GO:0071944,GO:0072089,GO:0080090,GO:0097159,GO:0140030,GO:0140034,GO:1901363,GO:1901796,GO:1902531,GO:1902679,GO:1903506,GO:1903507,GO:1903706,GO:2000026,GO:2000112,GO:2000113,GO:2001141",-,-,-,-,-,-,-,-,-,-,"MBT,SAM_1,zf-C2HC"
Montipora_capitata_HIv3___Scaffold_8_571913,Montipora_capitata_HIv3___RNAseq.g12155.t2,-0.785713126,0.02081544564,0.1345568685,161,-20.66,2 21,304 328,21,76.19%,80.95%,green,0.2441869634,0.1846590017,0.318230884,0.4934335692,-0.2475896617,-0.4788873484,-0.392628284,-0.1214051241,0.1780234958,0.3116508851,0.07589214023,0.004107734141,0.1718644015,0.005556925963,0.02622975288,0.5080337803,Maternal,GO:0048534,hematopoietic or lymphoid organ development,34,7,3.49,0.02,Biological Processes,0.2058823529,45351.EDO39278,1.64E-236,685,"KOG3766@1|root,KOG3766@2759|Eukaryota,38D07@33154|Opisthokonta,3BC4J@33208|Metazoa",33208|Metazoa,K,lethal(3)malignant brain tumor-like protein,L3MBTL3,"GO:0000122,GO:0000785,GO:0000793,GO:0001700,GO:0002262,GO:0002376,GO:0002520,GO:0002521,GO:0002573,GO:0002682,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005700,GO:0005730,GO:0005737,GO:0005886,GO:0006325,GO:0006355,GO:0006357,GO:0006810,GO:0006996,GO:0007088,GO:0007097,GO:0007275,GO:0007346,GO:0007347,GO:0007399,GO:0007405,GO:0008150,GO:0008283,GO:0008285,GO:0009790,GO:0009792,GO:0009794,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010564,GO:0010605,GO:0010629,GO:0010646,GO:0016020,GO:0016043,GO:0019219,GO:0019222,GO:0019904,GO:0021700,GO:0022008,GO:0023051,GO:0030097,GO:0030099,GO:0030154,GO:0030218,GO:0030225,GO:0030851,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031490,GO:0031491,GO:0031493,GO:0031523,GO:0031974,GO:0031981,GO:0032093,GO:0032501,GO:0032502,GO:0032991,GO:0033043,GO:0034101,GO:0035064,GO:0035190,GO:0040029,GO:0042127,GO:0042393,GO:0042592,GO:0042802,GO:0043035,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043249,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044464,GO:0044877,GO:0045595,GO:0045637,GO:0045652,GO:0045892,GO:0045934,GO:0045995,GO:0046907,GO:0048468,GO:0048469,GO:0048513,GO:0048519,GO:0048523,GO:0048534,GO:0048583,GO:0048699,GO:0048731,GO:0048821,GO:0048856,GO:0048869,GO:0048872,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051239,GO:0051252,GO:0051253,GO:0051276,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051656,GO:0051726,GO:0051783,GO:0060255,GO:0061351,GO:0061515,GO:0065007,GO:0065008,GO:0070013,GO:0071695,GO:0071840,GO:0071944,GO:0072089,GO:0080090,GO:0097159,GO:0140030,GO:0140034,GO:1901363,GO:1901796,GO:1902531,GO:1902679,GO:1903506,GO:1903507,GO:1903706,GO:2000026,GO:2000112,GO:2000113,GO:2001141",-,-,-,-,-,-,-,-,-,-,"MBT,SAM_1,zf-C2HC"
Montipora_capitata_HIv3___Scaffold_8_536899,Montipora_capitata_HIv3___RNAseq.g33351.t1,-0.8240566521,0.01188273801,0.1064624444,156,-25.35,2 22,387 413,24,66.67%,70.83%,green,0.3678465773,0.2801584734,0.4667980813,0.2729575457,-0.2840306979,-0.3175059461,-0.4408847498,-0.3453392839,0.0383288775,0.120411241,0.007074859216,0.1306565072,0.115155001,0.07659934726,0.01154747225,0.05288747157,Maternal,GO:0035070,salivary gland histolysis,2,2,0.21,0.0071,Biological Processes,1,10224.XP_002733648.1,5.26E-114,350,"KOG3816@1|root,KOG3816@2759|Eukaryota,38BK1@33154|Opisthokonta,3BC2R@33208|Metazoa,3CSB1@33213|Bilateria",33208|Metazoa,T,tube development,HECA,"GO:0000902,GO:0000904,GO:0001763,GO:0002009,GO:0002165,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0007275,GO:0007346,GO:0007399,GO:0007409,GO:0007424,GO:0007430,GO:0007431,GO:0007435,GO:0007552,GO:0008150,GO:0008219,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009892,GO:0009987,GO:0009996,GO:0010453,GO:0010454,GO:0010468,GO:0010605,GO:0010608,GO:0010623,GO:0010629,GO:0010721,GO:0012501,GO:0014041,GO:0016043,GO:0016049,GO:0016246,GO:0016441,GO:0016458,GO:0019222,GO:0022008,GO:0022612,GO:0030030,GO:0030154,GO:0030182,GO:0030323,GO:0030424,GO:0030425,GO:0031047,GO:0031175,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0035070,GO:0035071,GO:0035146,GO:0035147,GO:0035155,GO:0035194,GO:0035239,GO:0035272,GO:0035295,GO:0036477,GO:0040007,GO:0040029,GO:0042659,GO:0042995,GO:0043005,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0045595,GO:0045596,GO:0045664,GO:0045786,GO:0045930,GO:0048102,GO:0048468,GO:0048471,GO:0048513,GO:0048519,GO:0048523,GO:0048588,GO:0048589,GO:0048666,GO:0048667,GO:0048675,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048732,GO:0048754,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0051239,GO:0051241,GO:0051726,GO:0051960,GO:0051961,GO:0060033,GO:0060255,GO:0060284,GO:0060429,GO:0060446,GO:0060541,GO:0060560,GO:0060562,GO:0061138,GO:0061564,GO:0065007,GO:0071840,GO:0097447,GO:0097458,GO:0120025,GO:0120036,GO:0120038,GO:0120039,GO:1903429,GO:1904799,GO:1990138,GO:2000026",-,-,-,-,-,-,-,-,-,-,"HECA,Headcase"
Montipora_capitata_HIv3___Scaffold_2_97469,Montipora_capitata_HIv3___RNAseq.g4583.t1,-0.7380487152,0.03657083976,0.1729190667,169,-23.64,2 23,479 504,23,65.22%,86.96%,midnightblue,0.2915943214,-0.1891299092,0.3088617756,0.6206290987,-0.07168936267,-0.1303615957,-0.3733181472,-0.4565861811,0.1053845981,0.299872015,0.08543028162,0.0001508580917,0.6966075478,0.476997175,0.03533063994,0.008619428434,Maternal,GO:0007507,heart development,48,8,4.93,0.043,Biological Processes,0.1666666667,45351.EDO48436,7.10E-37,129,"2DQN5@1|root,2S6C8@2759|Eukaryota,3A1N0@33154|Opisthokonta,3BQ9N@33208|Metazoa",33208|Metazoa,S,Chibby homolog 1,CBY1,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005794,GO:0005802,GO:0005814,GO:0005815,GO:0005829,GO:0005856,GO:0005929,GO:0006355,GO:0006996,GO:0007275,GO:0007507,GO:0008013,GO:0008104,GO:0008150,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010646,GO:0010648,GO:0012505,GO:0014706,GO:0015630,GO:0016043,GO:0019219,GO:0019222,GO:0022607,GO:0023051,GO:0023057,GO:0030030,GO:0030031,GO:0030111,GO:0030154,GO:0030178,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0031984,GO:0032501,GO:0032502,GO:0033036,GO:0035051,GO:0036064,GO:0042692,GO:0042802,GO:0042803,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044431,GO:0044441,GO:0044444,GO:0044446,GO:0044450,GO:0044463,GO:0044464,GO:0044782,GO:0045444,GO:0045892,GO:0045934,GO:0046983,GO:0048513,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048731,GO:0048738,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051146,GO:0051171,GO:0051172,GO:0051179,GO:0051252,GO:0051253,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055007,GO:0060255,GO:0060271,GO:0060537,GO:0060828,GO:0061061,GO:0065003,GO:0065007,GO:0070013,GO:0070925,GO:0071840,GO:0072359,GO:0080090,GO:0090090,GO:0098791,GO:0120025,GO:0120031,GO:0120036,GO:0120038,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",-,-,-,-,-,-,-,-,-,-,Chibby
