X.query,GOs,Term,Annotated,Significant,Expected,Fisher,ontology,sig.prop,moduleColor,hpf_1,hpf_4,hpf_9,hpf_14,hpf_22,hpf_28,hpf_48,hpf_72,hpf_1.1,hpf_4.1,hpf_9.1,hpf_14.1,hpf_22.1,hpf_28.1,hpf_48.1,hpf_72.1,Group
Montipora_capitata_HIv3___RNAseq.g15081.t1,GO:0044248,cellular catabolic process,1678,696,645.21,0.00288,Biological Processes,0.4147794994,black,-0.2933793344,-0.4542950307,-0.3061531454,-0.09381815506,-0.04657912333,0.01533847306,0.3612689667,0.7660498777,0.115608779,0.01167182528,0.09988756393,0.6219289561,0.8069084867,0.9358817315,0.0498217369,8.06E-07,MajorWave
Montipora_capitata_HIv3___RNAseq.g24161.t1,GO:0006885,regulation of pH,78,42,29.99,0.00317,Biological Processes,0.5384615385,black,-0.203389833,-0.08543358836,-0.2710142077,-0.1586351109,-0.05642498093,-0.09885782998,-0.1094588972,0.9615643728,0.2810366567,0.6535197913,0.1474485361,0.4024346109,0.7671108051,0.6032483145,0.5647566753,2.97E-17,MajorWave
Montipora_capitata_HIv3___RNAseq.g24161.t1,GO:0015701,bicarbonate transport,22,15,8.46,0.00451,Biological Processes,0.6818181818,black,-0.203389833,-0.08543358836,-0.2710142077,-0.1586351109,-0.05642498093,-0.09885782998,-0.1094588972,0.9615643728,0.2810366567,0.6535197913,0.1474485361,0.4024346109,0.7671108051,0.6032483145,0.5647566753,2.97E-17,MajorWave
Montipora_capitata_HIv3___RNAseq.g40850.t1,GO:0009152,purine ribonucleotide biosynthetic process,181,99,69.6,6.70E-05,Biological Processes,0.546961326,brown,-0.2810420302,-0.3238693528,-0.4384402973,-0.2662856195,0.01665906706,0.1575593557,0.6284127969,0.4874684155,0.1324701742,0.08082197904,0.01537042066,0.154920866,0.9303740923,0.4056738723,0.0002003475977,0.006289184964,MajorWave
Montipora_capitata_HIv3___RNAseq.g40850.t1,GO:0009167,purine ribonucleoside monophosphate metabolic proce...,172,103,66.14,1.10E-06,Biological Processes,0.5988372093,brown,-0.2810420302,-0.3238693528,-0.4384402973,-0.2662856195,0.01665906706,0.1575593557,0.6284127969,0.4874684155,0.1324701742,0.08082197904,0.01537042066,0.154920866,0.9303740923,0.4056738723,0.0002003475977,0.006289184964,MajorWave
Montipora_capitata_HIv3___RNAseq.g40850.t1,GO:0009168,purine ribonucleoside monophosphate biosynthetic pr...,69,40,26.53,6.00E-04,Biological Processes,0.5797101449,brown,-0.2810420302,-0.3238693528,-0.4384402973,-0.2662856195,0.01665906706,0.1575593557,0.6284127969,0.4874684155,0.1324701742,0.08082197904,0.01537042066,0.154920866,0.9303740923,0.4056738723,0.0002003475977,0.006289184964,MajorWave
Montipora_capitata_HIv3___RNAseq.g40850.t1,GO:0015833,peptide transport,1173,479,451.04,0.00521,Biological Processes,0.4083546462,brown,-0.2810420302,-0.3238693528,-0.4384402973,-0.2662856195,0.01665906706,0.1575593557,0.6284127969,0.4874684155,0.1324701742,0.08082197904,0.01537042066,0.154920866,0.9303740923,0.4056738723,0.0002003475977,0.006289184964,MajorWave
Montipora_capitata_HIv3___RNAseq.g40850.t1,GO:0015988,"energy coupled proton transmembrane transport, agai...",16,14,6.15,7.50E-05,Biological Processes,0.875,brown,-0.2810420302,-0.3238693528,-0.4384402973,-0.2662856195,0.01665906706,0.1575593557,0.6284127969,0.4874684155,0.1324701742,0.08082197904,0.01537042066,0.154920866,0.9303740923,0.4056738723,0.0002003475977,0.006289184964,MajorWave
Montipora_capitata_HIv3___RNAseq.g40850.t1,GO:0032868,response to insulin,229,106,88.05,0.00413,Biological Processes,0.4628820961,brown,-0.2810420302,-0.3238693528,-0.4384402973,-0.2662856195,0.01665906706,0.1575593557,0.6284127969,0.4874684155,0.1324701742,0.08082197904,0.01537042066,0.154920866,0.9303740923,0.4056738723,0.0002003475977,0.006289184964,MajorWave
Montipora_capitata_HIv3___RNAseq.g40850.t1,GO:0033572,transferrin transport,21,16,8.07,0.00049,Biological Processes,0.7619047619,brown,-0.2810420302,-0.3238693528,-0.4384402973,-0.2662856195,0.01665906706,0.1575593557,0.6284127969,0.4874684155,0.1324701742,0.08082197904,0.01537042066,0.154920866,0.9303740923,0.4056738723,0.0002003475977,0.006289184964,MajorWave
